,Text,language
48,How far is Galveston from San Antonio ?,ENGLISH
49,What will be the weather at noon ?,ENGLISH
50,holiday happenings,ENGLISH
51,Temperature shanghai this weekend C,ENGLISH
52,Create an alarm for Fridays at 5 pm,ENGLISH
53,Restart the timer in 5 minutes,ENGLISH
54,Play the top 10 best rap songs,ENGLISH
55,Delete the birthday party reminder .,ENGLISH
56,What is the chance of rain today ?,ENGLISH
57,Create a new go to sleep alarm .,ENGLISH
58,Set an alarm for 5 titled work,ENGLISH
59,What is the weather going to be this weekend ?,ENGLISH
60,what ' s the weather going to be like in 3 days,ENGLISH
61,please play christmas music,ENGLISH
62,Tell him to meet me at 5 .,ENGLISH
63,when am i done with these weights,ENGLISH
64,Delete previous timer and add new one .,ENGLISH
65,List all concerts at Verizon Theater this weekend,ENGLISH
66,what movies are playing friday night at amc universal,ENGLISH
67,When is the first frost predicted for the coming fall,ENGLISH
68,SET MONTHLY ALARM TO PAY GYM MEMBERSHIP ON 3RD OF EVERY MONTH,ENGLISH
69,Send a message in Facebook to Nataly saying she looks beautiful .,ENGLISH
70,Set alarms for Wednesday at 7 . 30am and 8 . 00am,ENGLISH
71,Show me any alarms that are set on Fridays .,ENGLISH
72,If I take the train will I make my doctors appointment on time ?,ENGLISH
73,Is Turkey having a heatwave ?,ENGLISH
74,Set alarm for every 30 minutes .,ENGLISH
75,remind me to pick up the groceries at 5 pm tonight,ENGLISH
76,Can I hear some jazz music right now,ENGLISH
77,Remind mom to go to her doctors appointment at 9 am tomorrow .,ENGLISH
78,play more songs like this one,ENGLISH
79,What speed are the winds going today ?,ENGLISH
80,send message to lynette asking her what she bought gabby for the bridal shower,ENGLISH
81,can you suspend the timer,ENGLISH
82,I need to set a reminder or Tuesday,ENGLISH
83,whats fun to do tomorrow in bayside,ENGLISH
84,Create two alarms for Wednesday at 8 in the morning and 4 in the afternoon,ENGLISH
85,Start the timer again .,ENGLISH
86,Anything going on in Boston now,ENGLISH
87,Please give me the weather for Monday,ENGLISH
88,what is the low tonight,ENGLISH
89,Should I take the freeway to get to David ' s the quickest ?,ENGLISH
90,Wine tasting near me,ENGLISH
91,I want to listen to Linkin Park ' s last album,ENGLISH
92,organize a get up alarm Monday at 6 am,ENGLISH
93,Tell Spotify to play Don ' t Stop Me Now,ENGLISH
94,What was my last time ?,ENGLISH
95,I need to talk to Bob later ; can you remind me at 5 : 00 ?,ENGLISH
96,is the traffic heavy to the city,ENGLISH
97,Check with Stacy on Line,ENGLISH
98,any fun new years parties this month,ENGLISH
99,Ignore calls while timer is on,ENGLISH
100,How hot is it today ?,ENGLISH
101,How many alarms can I set ?,ENGLISH
102,taylor swift events,ENGLISH
103,What ' s the weather for this evening ?,ENGLISH
104,Send a Message to Jesse and ask what hotel they \ u 2019 re staying in Panama City Beach next month,ENGLISH
105,Make an alarm every Sunday at 10 pm .,ENGLISH
106,Using the timer to find out how long this 5K race will take me,ENGLISH
107,what is the traffic on the 5 freeway right now,ENGLISH
108,What ' s the forecast ?,ENGLISH
109,Should I wear my rainboots ?,ENGLISH
110,Is it supposed to rain Wednesday ?,ENGLISH
111,Send a message to Carol to bring extra flip flops to the beach tomorrow .,ENGLISH
112,Set a wake up alarm for the next 2 weeks for 8 am,ENGLISH
113,Let me see all my reminders about the dog,ENGLISH
114,What is happening at the San Antonio Convention Center this Saturday,ENGLISH
115,Hows the traffic looking,ENGLISH
116,How much rainfall,ENGLISH
117,Remind Emma to bring my book with her when she visits this week .,ENGLISH
118,stream current traffic conditions to my Facebook feed,ENGLISH
119,Ask Lyndsie why she ' s running so late in a message .,ENGLISH
120,"When is it going to start snowing in Aspen , Colorado this year",ENGLISH
121,"I need to be at my meeting by 3 , will I make it ?",ENGLISH
122,Where is the accident on i 5,ENGLISH
123,How is the weather going to be like at 6 pm,ENGLISH
124,Set alarm for 10 PM .,ENGLISH
125,Cancel my daily reminder to feed Balto and Koda .,ENGLISH
126,Events in Napa on Sunday,ENGLISH
127,Things to do in Atlanta next Friday Evening,ENGLISH
128,Create alarm for 10 minutes,ENGLISH
129,"I need to arrive at Aunt Beryl ' s no later than 10 am , so what time to I need to leave here ?",ENGLISH
130,what is the distance from tampa to New york,ENGLISH
131,Will the roads downtown be blocked off for the Veterans ' parade ?,ENGLISH
132,Remind me on Thursday that the vet appointment is Friday at 2 pm .,ENGLISH
133,Delete all diner reminders for next weeks,ENGLISH
134,display all my alarms for this month,ENGLISH
135,Cancel my alarm .,ENGLISH
136,"Alexa , could you send a message to Tim .",ENGLISH
137,How it ' s looking outside at midday ?,ENGLISH
138,set timer for 45 minutes,ENGLISH
139,play the latest song by Breaking Benjamin,ENGLISH
140,"i forgot to do my homework , remind me to do it later tonight .",ENGLISH
141,Change the reminder to visit our group president monthly .,ENGLISH
142,Add a note to my taxes reminder : don ' t forget the W 2 .,ENGLISH
143,Will it be hot this weekend ?,ENGLISH
144,what ' s the weather like today,ENGLISH
145,"Create alarm called ' antibiotics ' for Monday , Tuesday , Wednesday at 4 pm",ENGLISH
146,Remind Theresa about shopping plans Friday at 2 PM .,ENGLISH
147,Movies playing in Sarasota on Friday,ENGLISH
148,Do I need to take an umbrella to work today ?,ENGLISH
149,what was the weather report for tomorrow,ENGLISH
150,Is there a lot of snow still on the roads going to school ?,ENGLISH
151,set a timer for 5 minutes,ENGLISH
152,should I bring shorts with me later,ENGLISH
153,"If I leave work at 1130 am , what time will I get to Dayton , Oho .",ENGLISH
154,Set me alarms for tomorrow at 4 and 5,ENGLISH
155,Weather for the 7th of December in London .,ENGLISH
156,What is the best route to work this morning to avoid traffic,ENGLISH
157,Set an alarm to go off on Fridays at 10 am,ENGLISH
158,Is there a lot of traffic around market place mall on friday night ?,ENGLISH
159,Can you make a reminder for me to go to the dentist this Thursday at 4 pm ?,ENGLISH
160,what chrismtas lighting events are in my area tonight,ENGLISH
161,Set up a reminder for the school open house on Monday August 6th at 6 pm,ENGLISH
162,Text Thom Can you please come over here ?,ENGLISH
163,Set timer for 1 minute,ENGLISH
164,Is there traffic in Houston 2 pm,ENGLISH
165,Weather in the south of France,ENGLISH
166,weather on 12 / 15 / 2017,ENGLISH
167,How long will take to go from Miami to Key West,ENGLISH
168,How long will it take if I stay on the feeder road from the Comfort exit to the Spurs game ?,ENGLISH
169,Pause station,ENGLISH
170,How long will it take to get to the Farmer ' s Market if I go by streets from Santa Clarita ?,ENGLISH
171,Happy hours,ENGLISH
172,make a playlist for 90 ' s alternative,ENGLISH
173,If I leave right now how long will it take me to drive to Brighton from here,ENGLISH
174,Set a reminder for 8 : 00 pm tonight to watch my favorite movie is airing on channel 32 .,ENGLISH
175,Answer Katherine now .,ENGLISH
176,i want to hear drakes new album,ENGLISH
177,Will there be a thunderstorm today ?,ENGLISH
178,Set a reminder on Thursday about my dentist appointment .,ENGLISH
179,Message mom and say I made the brownies .,ENGLISH
180,Set alarm for 6 am tomorrow,ENGLISH
181,Is it going to hail today ?,ENGLISH
182,Set alarm for 7 am Thursday,ENGLISH
183,Chocolate Tours in Boston,ENGLISH
184,LGA traffic update,ENGLISH
185,Remind me to buy some lettuce after work .,ENGLISH
186,Alternate routes to Temecula from here,ENGLISH
187,Remove 10 minutes from the workout timer,ENGLISH
188,how is the weather in france ?,ENGLISH
189,Save this song to my untitled playlist .,ENGLISH
190,cancel reminder to pick up daughter after school,ENGLISH
191,set alarm after 60 minutes,ENGLISH
192,What are the traffic conditions on Sundays in Mobile,ENGLISH
193,remind me to set a one hour appt with a masseuse,ENGLISH
194,How long from here to the Dali Museum,ENGLISH
195,How long is the trip in train to Atlantic city on a Sunday,ENGLISH
196,is it going to be hot out,ENGLISH
197,I need to change my wakeup alarm to a different time .,ENGLISH
198,message Mum asking for Charlie ' s phone number .,ENGLISH
199,Set alarm for 6 am,ENGLISH
200,delete last alarm,ENGLISH
201,What ' s the traffic like downtown KC,ENGLISH
202,Add one hour to the timer,ENGLISH
203,Set an alarm for Monday at 5 pm,ENGLISH
204,Cancel alarm for 7 pm,ENGLISH
205,resuming timer please,ENGLISH
206,Show me alarms I have set for today,ENGLISH
207,How many minutes are left on the timer that ' s running ?,ENGLISH
208,Show me my reminders for the week .,ENGLISH
209,I ' m sick so please delete tomorrow ' s reminders .,ENGLISH
210,pause song,ENGLISH
211,How long will it take me to get to Rancho Cucamonga if I leave at 7,ENGLISH
212,How long until I get home,ENGLISH
213,Does this road have any pot holes,ENGLISH
214,What is the name of the street that I turn on to get to Bentleys ?,ENGLISH
215,Can I get to Main Street before noon with the current traffic conditions ?,ENGLISH
216,do i need an umbrella ?,ENGLISH
217,tell Lisa to cancel the party .,ENGLISH
218,how long will it take to get to richmond,ENGLISH
219,is taylor swift coming to town,ENGLISH
220,Read chats from a different status .,ENGLISH
221,how far is the history museum from mike ' s work ?,ENGLISH
222,Delete all alarms for the weekend .,ENGLISH
223,cancel reminder to email john tonight,ENGLISH
224,start a 10 minute countdown,ENGLISH
225,Delete alarm for tomorrow at 8 am,ENGLISH
226,Is there another route around traffic,ENGLISH
227,more music like this,ENGLISH
228,Cancel Fridays alarm,ENGLISH
229,Create an alarm for tomorrow at 4 PM .,ENGLISH
230,Set a good morning alarm for 8 am,ENGLISH
231,When is the storm coming ?,ENGLISH
232,when did it last snow in florida,ENGLISH
233,is it shorts weather,ENGLISH
234,Please create me an alarm for May 27th at 10 minutes to midnight,ENGLISH
235,set the timer for 15 minutes,ENGLISH
236,let anita know i will be there early for carnival,ENGLISH
237,Set my alarm to ring every 20 minutes,ENGLISH
238,How is the Traffic from Portland to Seattle,ENGLISH
239,Pause playback,ENGLISH
240,can you clock me at 5 pm next 14th,ENGLISH
241,Whats the weather in California today ?,ENGLISH
242,Best Broadway shows in New York,ENGLISH
243,Turn off my Saturday alarm .,ENGLISH
244,Send message to Tonya to ask her if she will be coming by to get the rest of her stuff,ENGLISH
245,Set a reminder to pack for Afest,ENGLISH
246,Beatles tribute band Philadelphia this month,ENGLISH
247,let me know how long is my drive home,ENGLISH
248,Delete the alarm set for 5 am,ENGLISH
249,Please erase all my alarms .,ENGLISH
250,"Text mum I \ u 2019 m coming over today , love you",ENGLISH
251,are more thunderstorms coming,ENGLISH
252,how much time is left in my run,ENGLISH
253,What is the current drive time to Apple Valley,ENGLISH
254,is the traffic bad on MoPac `,ENGLISH
255,How much traffic is on I - 75,ENGLISH
256,Remind me of my dentist appointment 30 minutes before it ' s scheduled .,ENGLISH
257,remind me to get gas in car today .,ENGLISH
258,if i leave home at 7 what time will i get to katie ' s house,ENGLISH
259,stop timer at ( enter specific time ),ENGLISH
260,set one 10 minute time and one 40 minute timer,ENGLISH
261,set an alarm for 6 am,ENGLISH
262,Can you delete all my alarms .,ENGLISH
263,What ' s the forecast for the ocean ?,ENGLISH
264,Change Friday ' s alarm from 3 : 30 to 4 : 00 am,ENGLISH
265,What can I do tonight that doesn ' t cost a lot of money,ENGLISH
266,Delay timer for 8 minutes,ENGLISH
267,Please display alarms set for Wedensday .,ENGLISH
268,Remind me to mail the phone bill on Tuesday .,ENGLISH
269,Show my last reminder from yesterday .,ENGLISH
270,Bogota is one of the worst traffic in the World,ENGLISH
271,Ask Chuck on how to fix a tire while stuck in a snowbank in the middle of nowhere,ENGLISH
272,Get directions to downtown Cincinatti without passing construction,ENGLISH
273,Set a recurring reminder once a month to change the water filter .,ENGLISH
274,What time is it going to rain ?,ENGLISH
275,"What are the chances of rain in Charleston , South Carolina on August 21st",ENGLISH
276,Resume timer for 5 minutes .,ENGLISH
277,Remind me to order more toilet paper tomorrow .,ENGLISH
278,What time will I get to Panama City Beach if I leave here at 2 a . m .,ENGLISH
279,last song,ENGLISH
280,Send a message to Patty ' s Cakes that I will not attend the July event .,ENGLISH
281,put together my timers,ENGLISH
282,Traffic please and thank you,ENGLISH
283,Respond reacting with a thumbs down to the first message,ENGLISH
284,Flip the chicken in 35 minutes,ENGLISH
285,Grab the latest texts from Grandma June,ENGLISH
286,Have an alarm go off on every Saturday at 12 pm,ENGLISH
287,set my timer at 30 seconds,ENGLISH
288,alert me 10 min before to turn on the tv for my show at 10 pm,ENGLISH
289,set an alarm for noon tomorrow,ENGLISH
290,Remind me to send birthday greetings,ENGLISH
291,"What is the fastest route to Gatlinburg from Jacksonville , NC ?",ENGLISH
292,whens the next king tut exhibit,ENGLISH
293,I ' d like to see my uncle Ray ' s message from Signal,ENGLISH
294,skip to next song,ENGLISH
295,Which location along the Atlantic coast is warmest today,ENGLISH
296,How far is Guam from the United States,ENGLISH
297,Add 10 minutes to my current timer .,ENGLISH
298,Delete all my alarms,ENGLISH
299,Community holiday parties,ENGLISH
300,remind tyler in an hour to start the dishwasher,ENGLISH
301,Delete the alarm for the vet,ENGLISH
302,remove all bridge club reminders,ENGLISH
303,How long is the distance from Miami to New York,ENGLISH
304,remind of doctors appointment tuesday at 12 pm,ENGLISH
305,Are we going to get hail today ?,ENGLISH
306,how ' s the traffic to Sussex,ENGLISH
307,set reminder at 10 pm tomorrow,ENGLISH
308,What will the weather be like at 6 pm ?,ENGLISH
309,Do I have anything scheduled for next Monday ?,ENGLISH
310,how many miles from san diego to san francisco,ENGLISH
311,Show all alarms,ENGLISH
312,Did Mike message me ?,ENGLISH
313,HOW MANY INCHES OF SNOW SHOULD WE EXPECT ?,ENGLISH
314,How do I set a timer for 42 minutes ?,ENGLISH
315,play a station you recommend,ENGLISH
316,should i pack a jacket for beech mountain ?,ENGLISH
317,how is the traffic in Seaside,ENGLISH
318,Would it be faster for me to take a bus or a taxi to the beach ?,ENGLISH
319,when will it get dark tonight,ENGLISH
320,when is hurricane season,ENGLISH
321,Will there be any flooding from the rain ?,ENGLISH
322,Tell me the masquerade events in downtown Detroit for Thursday and Friday the 21st and 22nd of December,ENGLISH
323,Alert me at 6 tomorrow instead of 7 am .,ENGLISH
324,Delete reminder to fix my car tonight .,ENGLISH
325,Any Holiday events for children,ENGLISH
326,Is there a blizzard warning,ENGLISH
327,What ' s the temperature in New Mexico ?,ENGLISH
328,Is traffic heavy this evening,ENGLISH
329,Make an alarm called pick up kids for Friday 3 pm,ENGLISH
330,"alexa , say thank you to Mum .",ENGLISH
331,How long will the traffic increase my drive,ENGLISH
332,What is the distance of Charlotte to Huntersville,ENGLISH
333,Set scheduling reminder .,ENGLISH
334,where is there construction in Norman,ENGLISH
335,What are my alarms for next week ?,ENGLISH
336,What is the traffic like between Raleigh and Durham,ENGLISH
337,whats the traffic looking like,ENGLISH
338,Show me every alarm,ENGLISH
339,Share the temperature for Christmas Day .,ENGLISH
340,Delete reminder to buy crayons,ENGLISH
341,Delete the reminder to pick up the kids tomorrow .,ENGLISH
342,can you play my playlist on spotify,ENGLISH
343,is there a cold front coming this week,ENGLISH
344,Is there any traffic within 3 miles of my home,ENGLISH
345,How many miles is it to California from New York,ENGLISH
346,Replay the song from the beginning,ENGLISH
347,Show me daily reminders,ENGLISH
348,Tell my brother - in - law a happy birthday for me please .,ENGLISH
349,Add a sad react to my message,ENGLISH
350,Set an alarm for lunch time,ENGLISH
351,snooze all the alarms,ENGLISH
352,What is the temperture of Higgins Lake,ENGLISH
353,I said set a reminder to pack for Afest,ENGLISH
354,pause the current timer,ENGLISH
355,Generate an alarm called wake up and go to the post office tomorrow at 9 am .,ENGLISH
356,Resume my timer,ENGLISH
357,Set 7 am reminder to take out the trash .,ENGLISH
358,What are my reminders with Amanda next week ?,ENGLISH
359,Create an alarm that goes off every 2nd Saturday at 4 pm,ENGLISH
360,any fun sporting events this week,ENGLISH
361,Make an alarm go off at noon and 6 pm every day for a month,ENGLISH
362,Play some workout music .,ENGLISH
363,remind me to buy my sister a bday gift,ENGLISH
364,How many miles between Chicago and Detroit,ENGLISH
365,eliminate alarm for tomorrow,ENGLISH
366,Message,ENGLISH
367,How hot is it today ?,ENGLISH
368,Repeat the last song .,ENGLISH
369,i want to listen to ac / dc on pandora,ENGLISH
370,Make a video message for Carl for his birthday .,ENGLISH
371,Please create a new alarm for tomorrow night for dinner .,ENGLISH
372,Will a jacket sufficient for today ' s weather ?,ENGLISH
373,When is the next predicted hurricane in the US,ENGLISH
374,Message Linda to pick up the cake at the bakery on Thursday,ENGLISH
375,How is the traffic heading towards Philadelphia if I leave the beach in 20 minutes,ENGLISH
376,Tell Joey I had a good time yesterday .,ENGLISH
377,Repeat alarm every monday 06 am,ENGLISH
378,Show me today ' s weather for Cuba .,ENGLISH
379,New alarms please at 8 : 30 am and 9 : 30 am .,ENGLISH
380,Create a repeating alarm for 6 am and 6 pm please,ENGLISH
381,remind me to pay my phone bill on 8 / 1,ENGLISH
382,Remind me every month to pay my credit card starting three days from now,ENGLISH
383,Update reminder for Kyoto to osaka travel date . Change according to new schedule .,ENGLISH
384,What is the forecast for my birthday party ?,ENGLISH
385,How long will it take me to reach school if I leave from here right now ?,ENGLISH
386,Will it rain in Disney World today ?,ENGLISH
387,Play all of the Spice Girls albums,ENGLISH
388,What texts do I have from Mike ?,ENGLISH
389,What freeway should I take if I want to have the quickest route to home ?,ENGLISH
390,Is there a weather warning for my area ?,ENGLISH
391,Skip to the next song,ENGLISH
392,Message my brother and let him know the birthday dinner starts at 6 pm .,ENGLISH
393,play me classical music please,ENGLISH
394,Show messages from the alumni thread,ENGLISH
395,Set a morning alarm for 6 am,ENGLISH
396,What is the record high temperature this year,ENGLISH
397,Remove alarm to take birth control .,ENGLISH
398,Show me reminders of lunch plans this week .,ENGLISH
399,Alarm on for Wednesday at 8 am,ENGLISH
400,Message Mom about her appointments .,ENGLISH
401,"Please tell me the distance from Bay Minette , AL to Nashville , TN",ENGLISH
402,Show me the most recents texts from my brother,ENGLISH
403,Art festivals for 2018,ENGLISH
404,anything I would like happening in Detroit,ENGLISH
405,Message girlfriend i just see a new CK High Top trainers shoes you would like .,ENGLISH
406,Delete my weekly reminder for spinning class .,ENGLISH
407,Fun stuff in Harvard Square next month,ENGLISH
408,play Don ' t Believe A Word,ENGLISH
409,How long did I work out for,ENGLISH
410,set a reminder to do my laundry,ENGLISH
411,Help me understand what the weather will be like at 3 pm,ENGLISH
412,Is traffic heavy near the beach,ENGLISH
413,Set up an alarm for Tuesdays at 9 am,ENGLISH
414,How long will it take me to get to Michelle ' s house if I leave here in 20 minutes ?,ENGLISH
415,Change my alarm of 3 pm to 5 pm .,ENGLISH
416,I want to listen to all Beyonce songs,ENGLISH
417,what is the traffic driving from CT to NYC,ENGLISH
418,remind everett at 6 pm to take his vitamins,ENGLISH
419,is the traffic moving slow,ENGLISH
420,will the traffic be bad around the arena tonight,ENGLISH
421,can you set up a reminder about car oil change appointment on sunday august 5th 2018 at 8 am .,ENGLISH
422,Delete last alarm set,ENGLISH
423,Can I see the temperture in Celsius please,ENGLISH
424,are the roads busy,ENGLISH
425,what ' s the current weather in Sydney ?,ENGLISH
426,Change my 7 : 00 pm Friday alarm to 6 : 00 am the next day,ENGLISH
427,How much time is left on my 90 minute timer,ENGLISH
428,Tell Mason the 5K event will start at 7th street at 9 am .,ENGLISH
429,How long would it take to get home,ENGLISH
430,"Can I get from here to Naperville , Illinois by 10 am ?",ENGLISH
431,How many miles between New Hope and Atlantic City,ENGLISH
432,Remind me to pay the doctor .,ENGLISH
433,How hot will it be in Griffith Park at 8 AM today ?,ENGLISH
434,Did they clear the snow on the main road to Livingston Center ?,ENGLISH
435,If I leave Movie in the Park at 7 pm when will I get to Brunswick,ENGLISH
436,I want to change the reminder to do the laundry to start on Wednesday and Saturday instead of Sunday and Tuesday .,ENGLISH
437,Delete the reminder to take my final exams,ENGLISH
438,What alarms do I have tomorrow ?,ENGLISH
439,any comedy shows this weekend in nyc,ENGLISH
440,Is there a severe thunderstorm watch going on in Wake county,ENGLISH
441,How cold is it next week in Boston degree F,ENGLISH
442,What time do I need to leave to make it to san francisco by 7 am,ENGLISH
443,How long will it take me to reach the nearest gas station,ENGLISH
444,Set an alarm at 3 pm on May the 17th,ENGLISH
445,Can I listen to the 5th song on the album one more time ?,ENGLISH
446,are there any speed traps on this road,ENGLISH
447,Is there a surf warning at the beach today,ENGLISH
448,Delete that timer and start one for 30 minutes,ENGLISH
449,Is there heavy traffic in Toledo,ENGLISH
450,what is the lightest times for traffic on 540 in raleigh,ENGLISH
451,Set alarm for every minute after 6 am,ENGLISH
452,message Katie that I am confirming my haircut appointment,ENGLISH
453,Remind me to pay the bills tomorrow .,ENGLISH
454,What is the temperature going to be tommorrow ?,ENGLISH
455,Tell me what alarms I have set for Sunday ?,ENGLISH
456,remind me to check appointment log for baby,ENGLISH
457,Find songs by Stevie Nicks .,ENGLISH
458,what free events are happening in my areas this month,ENGLISH
459,Is traffic on I - 95 moving steadily,ENGLISH
460,Play creedence Clearwater revival .,ENGLISH
461,Set reminder alarm every 5 minutes for 1 hour,ENGLISH
462,Stop timer .,ENGLISH
463,cancel my alarms for today,ENGLISH
464,Set twenty minute timer,ENGLISH
465,Set alarm for 6 : 50 am,ENGLISH
466,Remind me to go to the meeting next Wednesday at 4 pm,ENGLISH
467,what time will the sun set,ENGLISH
468,Cancel all reminders for the rest of this month .,ENGLISH
469,Check the weather for me,ENGLISH
470,Remind me that I do not have money to travel,ENGLISH
471,Set alarm for 6 Am daily,ENGLISH
472,Turn off this alarm .,ENGLISH
473,Will I need an umbrella tomorrow ?,ENGLISH
474,Love Drew ' s text about tomorrow,ENGLISH
475,Stop the timer at intervals of 2 minutes,ENGLISH
476,change the song,ENGLISH
477,What is the temperature in Florida,ENGLISH
478,New alarm for 3 pm please .,ENGLISH
479,Do I have any alarms set ?,ENGLISH
480,Send me driving directions via the 405 to San Diego .,ENGLISH
481,What was the snowfall today ?,ENGLISH
482,Set alarm every minute for 30 minutes .,ENGLISH
483,How long would it take me to get to downtown Louisville,ENGLISH
484,play nickelback for me,ENGLISH
485,alarm for 7 am please,ENGLISH
486,what is the distance between augusta and new york,ENGLISH
487,add five minutes to my current alarm,ENGLISH
488,Delete reminder to get gas .,ENGLISH
489,What is the traffic driving from home to Phoenix,ENGLISH
490,What ' s the weather outlook for the rest of this week ?,ENGLISH
491,How much snow predicted,ENGLISH
492,Display my alarms set for Friday,ENGLISH
493,How long will it take me to drive from Scottsdale to Flagstaff,ENGLISH
494,Ask Ben what the traffic is like,ENGLISH
495,What is today ' s high ?,ENGLISH
496,Please play the sound track to Pitch Perfect 2,ENGLISH
497,What is the driving time from LA to Phoenix,ENGLISH
498,will it be good skiing weather this weekend in Boulder,ENGLISH
499,Send a message to my husband and ask him how late he thinks he \ u 2019 ll be,ENGLISH
500,Tell me if there ' s anything to do in hardy,ENGLISH
501,Weather forecast . Sydney . 6 pm .,ENGLISH
502,whats going on in miami this week,ENGLISH
503,Set my alarm for 10 : 00 AM,ENGLISH
504,change the conference reminder to tomorrow instead of today,ENGLISH
505,What is the traffic report for Atlanta,ENGLISH
506,Driving directions to the Cummer Museum in Jacksonville .,ENGLISH
507,How much snow did we get last night,ENGLISH
508,is thursday to be cloudy,ENGLISH
509,Play me some pop,ENGLISH
510,Remind me to take 5 min break at 4 : 30 pm,ENGLISH
511,Message Sarah I am running g late ; there is too much traffic .,ENGLISH
512,Message Val the service starts at 3 : 00 but Jose wants us there by 1 : 00 for to help decorate,ENGLISH
513,send this photo to Martina .,ENGLISH
514,Delete all reminders set,ENGLISH
515,what is the path for the hurricane in the gulf,ENGLISH
516,What is the best route,ENGLISH
517,Set reminder to visit storage room on Saturday at 11 am .,ENGLISH
518,silence alarm for 6 minutes,ENGLISH
519,Improv comedy shows in Portland for the weekend,ENGLISH
520,What is the drive time from my office to the Miami Food & Wine Festival ?,ENGLISH
521,what is it like on the 405 right now,ENGLISH
522,Shuffle,ENGLISH
523,Are any food festivals near me,ENGLISH
524,Remind me about dinner plans this weekend .,ENGLISH
525,Show all my alarms,ENGLISH
526,Shuffle,ENGLISH
527,Is tomorrow ' s weather good for a beach day,ENGLISH
528,I would like to listen to some country,ENGLISH
529,Set alarm for 6 am Saturday morning .,ENGLISH
530,When is the next farmer ' s market,ENGLISH
531,What ' s happening in Long Island today,ENGLISH
532,are there high winds today,ENGLISH
533,What are the best shows to see in Vegas tomorrow,ENGLISH
534,If i leave at 8 AM will i make it to my interview ontime in rush hour traffic,ENGLISH
535,does i 35 have traffic,ENGLISH
536,What do you think will be the weather in December 25th ?,ENGLISH
537,I need to see the traffic on my route to work,ENGLISH
538,Play me the live album by Pink Floyd .,ENGLISH
539,Set alarm that goes off every Tuesday at 7 am,ENGLISH
540,What time is my alarm set for tomorrow ?,ENGLISH
541,message mom where are you ?,ENGLISH
542,stop all alarms,ENGLISH
543,Please play my driving playlist,ENGLISH
544,how is the traffic from West Palm Beach to Miami,ENGLISH
545,Pause existing timer,ENGLISH
546,How long is my drive home from work,ENGLISH
547,Play k - pop,ENGLISH
548,play me some classic rock,ENGLISH
549,I need an alarm for 6 am on Tuesday,ENGLISH
550,concert options near me,ENGLISH
551,"Be quiet alarm , please",ENGLISH
552,set timer for 8 months,ENGLISH
553,Will the Pop rally block my way toward the bank ?,ENGLISH
554,When are the alarms set for Saturday ?,ENGLISH
555,Please remind me to review my project work at 2 pm ?,ENGLISH
556,set cooking timer for 15 minutes,ENGLISH
557,Any weather alerts for today ?,ENGLISH
558,Cut the timer by 5 minutes,ENGLISH
559,Cancel all timers .,ENGLISH
560,Get an alarm going for the 8th of September at 4 in the arvo .,ENGLISH
561,What will be the weather like this week ?,ENGLISH
562,will it be icy /,ENGLISH
563,pause this track,ENGLISH
